"","id","gender","math","daysabs","prog"
"1",1001,"male",63,4,2
"2",1002,"male",27,4,2
"3",1003,"female",20,2,2
"4",1004,"female",16,3,2
"5",1005,"female",2,3,2
"6",1006,"female",71,13,2
"7",1007,"female",63,11,2
"8",1008,"male",3,7,2
"9",1009,"male",51,10,2
"10",1010,"male",49,9,3
"11",1011,"female",31,4,3
"12",1012,"male",22,5,2
"13",1013,"female",73,5,2
"14",1014,"female",77,6,1
"15",1015,"male",10,1,3
"16",1016,"male",89,0,2
"17",1017,"female",34,1,2
"18",1018,"female",35,0,2
"19",1019,"male",77,5,1
"20",1020,"male",4,24,2
"21",1021,"female",21,2,2
"22",1022,"male",61,0,2
"23",1023,"male",41,1,2
"24",1024,"male",63,0,2
"25",1025,"female",19,8,2
"26",1026,"male",55,6,1
"27",1027,"male",6,7,2
"28",1028,"female",21,0,2
"29",1029,"male",70,2,2
"30",1030,"male",79,3,1
"31",1031,"male",1,0,2
"32",1032,"female",29,1,2
"33",1033,"male",40,3,2
"34",1034,"male",39,0,2
"35",1035,"male",68,0,2
"36",1036,"female",20,28,2
"37",1037,"male",10,8,2
"38",1038,"male",84,5,2
"39",1039,"male",1,5,1
"40",1040,"female",35,27,2
"41",1041,"female",32,5,2
"42",1042,"female",34,18,2
"43",1043,"female",40,19,2
"44",1044,"male",29,9,2
"45",1045,"male",20,9,2
"46",1046,"female",27,4,2
"47",1047,"male",74,2,2
"48",1048,"male",38,3,2
"49",1049,"male",21,9,2
"50",1050,"female",81,20,2
"51",1051,"male",16,6,2
"52",1052,"male",59,0,2
"53",1053,"male",48,27,2
"54",1054,"female",55,12,2
"55",1055,"female",4,34,2
"56",1056,"male",57,1,2
"57",1057,"male",5,28,1
"58",1058,"male",3,8,1
"59",1059,"female",23,3,2
"60",1060,"female",35,2,2
"61",1061,"male",33,1,2
"62",1062,"female",27,7,2
"63",1063,"male",13,4,2
"64",1064,"male",46,8,2
"65",1065,"female",30,6,2
"66",1066,"male",32,16,2
"67",1067,"female",26,6,1
"68",1068,"female",14,4,2
"69",1069,"female",31,3,3
"70",1070,"female",48,5,2
"71",1071,"male",72,0,2
"72",1072,"male",79,9,2
"73",1073,"male",15,0,3
"74",1074,"male",24,8,2
"75",1075,"female",55,0,3
"76",1076,"female",13,14,1
"77",1077,"male",34,4,2
"78",1078,"male",67,2,2
"79",1079,"male",1,35,2
"80",1080,"female",21,23,2
"81",1081,"female",33,13,2
"82",1082,"male",78,6,2
"83",1083,"female",84,3,1
"84",1084,"male",59,6,2
"85",1085,"male",75,0,2
"86",1086,"male",22,11,1
"87",1087,"female",49,11,2
"88",1088,"female",13,11,2
"89",1089,"male",84,4,3
"90",1090,"male",27,6,2
"91",1091,"female",27,23,2
"92",1092,"female",70,5,2
"93",1093,"male",96,5,2
"94",1094,"female",70,29,1
"95",1095,"female",10,7,2
"96",1096,"male",14,1,2
"97",1097,"male",20,9,2
"98",1098,"male",11,11,2
"99",1099,"male",42,18,2
"100",1100,"male",2,12,2
"101",1101,"male",24,6,1
"102",1102,"male",37,0,2
"103",1103,"male",13,4,2
"104",1104,"male",3,10,2
"105",1105,"male",70,19,1
"106",1106,"female",27,1,2
"107",1107,"female",1,12,1
"108",1108,"female",61,3,2
"109",1109,"male",44,0,2
"110",1110,"male",35,9,2
"111",1111,"male",78,14,2
"112",1112,"female",3,7,2
"113",1113,"male",21,3,2
"114",1114,"male",26,10,2
"115",1115,"male",44,12,2
"116",1116,"female",47,6,2
"117",1117,"female",35,35,2
"118",1118,"female",8,16,1
"119",1119,"female",87,3,2
"120",1120,"male",3,10,2
"121",1121,"male",6,6,2
"122",1122,"male",89,3,1
"123",1123,"male",13,2,2
"124",1124,"male",84,6,2
"125",1125,"male",90,5,2
"126",1126,"female",71,13,2
"127",1127,"female",15,7,1
"128",1128,"female",41,5,2
"129",1129,"female",63,3,2
"130",1130,"female",34,30,2
"131",1131,"female",45,16,2
"132",1132,"female",29,15,2
"133",1133,"female",3,12,2
"134",1134,"male",35,1,2
"135",1135,"male",32,4,1
"136",1136,"male",22,7,2
"137",1137,"female",81,1,2
"138",1139,"female",73,10,2
"139",1140,"male",69,3,2
"140",1141,"female",27,30,1
"141",1142,"female",13,2,2
"142",1143,"female",76,13,2
"143",1144,"female",7,5,1
"144",1145,"male",59,5,2
"145",1146,"female",29,5,2
"146",1147,"female",57,4,2
"147",1148,"female",44,3,2
"148",1149,"female",53,20,2
"149",1150,"female",23,12,2
"150",1151,"female",29,34,1
"151",1152,"male",40,6,2
"152",1153,"male",49,14,2
"153",1154,"female",38,16,1
"154",1155,"male",31,9,1
"155",1156,"female",21,15,1
"156",1157,"male",8,15,1
"157",1158,"male",37,0,2
"158",1159,"male",53,1,2
"159",2001,"female",31,4,3
"160",2002,"male",57,0,3
"161",2003,"male",57,0,3
"162",2004,"male",59,2,3
"163",2005,"female",29,1,3
"164",2006,"female",41,2,2
"165",2007,"male",71,0,3
"166",2008,"female",59,0,3
"167",2009,"male",71,0,3
"168",2010,"female",70,7,3
"169",2011,"male",77,2,3
"170",2012,"female",70,9,2
"171",2013,"female",87,6,3
"172",2014,"male",59,4,3
"173",2015,"male",65,1,3
"174",2016,"female",28,7,2
"175",2017,"male",77,0,3
"176",2018,"male",65,0,3
"177",2019,"female",73,4,3
"178",2020,"male",99,2,2
"179",2021,"female",57,0,3
"180",2022,"female",77,4,3
"181",2023,"female",57,2,2
"182",2024,"female",47,21,1
"183",2025,"female",24,1,3
"184",2026,"male",84,0,3
"185",2027,"female",73,1,3
"186",2028,"male",81,16,3
"187",2029,"female",52,9,1
"188",2030,"female",75,16,3
"189",2031,"male",65,0,2
"190",2032,"female",44,11,1
"191",2033,"male",44,1,3
"192",2034,"female",79,2,3
"193",2035,"female",20,3,3
"194",2036,"female",16,4,2
"195",2037,"female",99,2,2
"196",2038,"female",71,7,1
"197",2039,"male",46,7,3
"198",2040,"female",57,0,2
"199",2041,"female",67,1,2
"200",2042,"female",87,1,3
"201",2043,"female",70,0,3
"202",2044,"female",21,13,3
"203",2045,"female",31,1,3
"204",2046,"male",63,0,3
"205",2047,"female",44,1,2
"206",2048,"male",34,0,3
"207",2049,"female",77,4,1
"208",2050,"female",94,0,3
"209",2051,"female",41,4,1
"210",2052,"female",67,0,3
"211",2053,"female",61,2,3
"212",2054,"male",82,0,3
"213",2055,"female",63,4,1
"214",2056,"male",63,0,3
"215",2057,"female",77,4,3
"216",2058,"male",46,3,3
"217",2059,"male",8,1,3
"218",2060,"female",61,0,2
"219",2061,"female",71,1,2
"220",2062,"female",65,4,3
"221",2063,"female",41,1,2
"222",2064,"male",16,9,2
"223",2065,"female",22,0,3
"224",2066,"male",57,4,2
"225",2067,"female",51,8,2
"226",2068,"male",74,13,2
"227",2069,"male",41,0,3
"228",2070,"male",87,0,3
"229",2071,"male",67,0,3
"230",2072,"female",99,0,2
"231",2073,"female",63,2,2
"232",2074,"female",65,5,3
"233",2075,"female",71,1,3
"234",2076,"male",77,0,3
"235",2077,"female",67,3,1
"236",2078,"female",79,1,2
"237",2079,"female",20,2,3
"238",2080,"male",84,4,1
"239",2081,"male",28,5,2
"240",2082,"female",20,3,3
"241",2083,"male",26,1,3
"242",2084,"female",75,3,2
"243",2085,"female",63,6,3
"244",2086,"male",39,8,3
"245",2087,"male",32,21,2
"246",2088,"male",15,1,2
"247",2089,"female",55,7,3
"248",2090,"female",32,5,2
"249",2091,"male",34,1,2
"250",2092,"female",67,1,3
"251",2093,"female",41,0,3
"252",2094,"male",41,4,3
"253",2095,"female",29,0,2
"254",2096,"male",43,14,3
"255",2097,"female",77,2,2
"256",2098,"female",53,2,3
"257",2099,"female",44,2,3
"258",2100,"male",51,0,3
"259",2101,"male",67,1,3
"260",2102,"male",49,19,3
"261",2103,"female",37,2,2
"262",2104,"male",65,11,3
"263",2105,"male",43,3,1
"264",2106,"female",48,5,2
"265",2107,"female",99,16,1
"266",2108,"female",34,0,3
"267",2109,"male",87,5,3
"268",2110,"male",75,3,3
"269",2111,"female",57,2,2
"270",2112,"male",61,2,3
"271",2113,"male",73,8,1
"272",2114,"female",70,0,3
"273",2115,"female",99,3,3
"274",2116,"male",73,0,3
"275",2117,"male",66,1,3
"276",2118,"male",57,9,2
"277",2119,"male",77,1,3
"278",2120,"male",53,0,3
"279",2121,"male",73,0,3
"280",2122,"male",84,1,3
"281",2123,"male",83,12,2
"282",2124,"female",77,3,3
"283",2125,"male",44,0,3
"284",2126,"female",79,1,3
"285",2127,"male",53,8,1
"286",2128,"female",43,1,3
"287",2129,"male",46,1,3
"288",2130,"female",35,7,2
"289",2131,"female",63,6,3
"290",2132,"female",75,0,3
"291",2133,"female",84,8,3
"292",2134,"male",41,0,2
"293",2135,"female",32,1,3
"294",2136,"male",12,0,2
"295",2137,"male",61,4,3
"296",2138,"female",99,17,2
"297",2139,"male",67,9,1
"298",2140,"female",35,0,3
"299",2141,"female",70,0,3
"300",2142,"female",87,1,3
"301",2143,"male",70,3,3
"302",2144,"male",57,1,2
"303",2145,"male",44,2,3
"304",2146,"female",26,2,3
"305",2147,"male",63,2,3
"306",2148,"female",8,5,2
"307",2150,"male",63,3,3
"308",2151,"female",59,7,3
"309",2152,"female",46,1,3
"310",2153,"male",26,1,2
"311",2154,"female",79,3,3
"312",2155,"female",59,0,2
"313",2156,"female",90,0,3
"314",2157,"female",77,2,3
